																																																																																									                                           
                             A:A1 PI: FIBERS0   A:A1 PI: HOST-1 N  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode   LE:LE11 PI: HOST-  LE:LE22 PI: HOST- LE:LE11 PI: FIBER   RF:RF2 PI: HOST-1  RF:RF2 PI: FIBER S:S11 PI: HOST-1   S:S22 PI: HOST-1  SS:S11 PI: FIBERS0 U:  U:U1 PI: HOST-1 N  U1 PI: FIBERS0   U:U2 PI: HOST-1 N   U:U2 PI: FIBERS0 
                  X                 N: 2               : 1                 -1                 -1                 -1                 -1                 -1                l-1           1 E: 1 Centroid    1 E: 1 Centroid   S0 E: 1 Centroid          N: 1              0 N: 2       E: 1 Centroid      E: 1 Centroid       E: 1 Centroid             : 1              N: 2               : 1                 N: 2      
                5.2809E-03        45.6437           572.773             97.038E+06         81.7218E+03        97.038E+06        152.75E+03          97.2075E+06        64.9118E+03         -7.85063E-03       26.0619E-03       26.0619E-03          1.82001E+09        0.              -5.12819E+06        5.2179E+09         5.22086E+09          -7.8199E-03    -623.935E-06         26.4045E-03         24.2977E-03 
                5.39326E-03      218.712              2.73969E+03      101.169E+06         78.6152E+03       101.169E+06        155.35E+03         101.338E+06         65.3741E+03         -8.04619E-03       26.6092E-03       26.6091E-03          1.85583E+09        0.             -17.1205E+06         5.32085E+09        5.3307E+09           -8.01388E-03   -639.415E-06         26.9663E-03         24.8147E-03 
                5.50562E-03      180.755              2.26245E+03      105.384E+06         74.5809E+03       105.384E+06        158.231E+03        105.551E+06         65.7692E+03         -8.20691E-03       27.156E-03        27.156E-03           1.8938E+09         0.             -15.5115E+06         5.43154E+09        5.44046E+09          -8.17328E-03   -652.134E-06         27.5281E-03         25.3317E-03 
                5.61798E-03      -20.567           -258.22             109.682E+06         73.1862E+03       109.682E+06        161.525E+03        109.851E+06         65.8379E+03         -8.33879E-03       27.7026E-03       27.7026E-03          1.93335E+09        0.              -2.61466E+06        5.54868E+09        5.55019E+09          -8.30412E-03   -662.57E-06          28.0899E-03         25.8487E-03 
                5.73034E-03     -189.55              -2.37518E+03      114.065E+06         75.0434E+03       114.065E+06        164.893E+03        114.239E+06         65.7403E+03         -8.474E-03         28.2489E-03       28.2489E-03          1.97245E+09        0.               8.984E+06          5.66502E+09        5.65984E+09          -8.43821E-03   -673.267E-06         28.6517E-03         26.3656E-03 
                5.8427E-03      -172.08              -2.15612E+03      118.532E+06         78.7529E+03       118.532E+06        167.91E+03         118.714E+06         65.3445E+03         -8.63947E-03       28.795E-03        28.7948E-03          2.00954E+09        0.               8.65323E+06        5.77446E+09        5.76947E+09          -8.60229E-03   -686.356E-06         29.2135E-03         26.8826E-03 
                5.95506E-03        3.75064           48.5581           123.083E+06         80.7003E+03       123.083E+06        170.597E+03        123.269E+06         65.0678E+03         -8.83243E-03       29.3406E-03       29.3406E-03          2.04499E+09        0.              -2.52542E+06        5.8776E+09         5.87906E+09          -8.79359E-03   -701.618E-06         29.7753E-03         27.3996E-03 
                6.06742E-03      164.971              2.06995E+03      127.718E+06         78.7465E+03       127.718E+06        173.222E+03        127.905E+06         65.3504E+03         -9.02484E-03       29.886E-03        29.886E-03           2.08062E+09        0.             -13.4999E+06         5.98085E+09        5.98857E+09          -8.98428E-03   -716.833E-06         30.3371E-03         27.9166E-03 
                6.17978E-03      164.191              2.05808E+03      132.437E+06         75.3441E+03       132.437E+06        176.048E+03        132.622E+06         65.7193E+03         -9.19094E-03       30.4312E-03       30.4312E-03          2.11792E+09        0.             -14.1847E+06         6.08994E+09        6.09805E+09          -9.14883E-03   -729.964E-06         30.8989E-03         28.4335E-03 
                6.29213E-03       11.9612           149.605            137.238E+06         73.7446E+03       137.238E+06        179.21E+03         137.425E+06         65.8221E+03         -9.33081E-03       30.9759E-03       30.9759E-03          2.15668E+09        0.              -4.57907E+06        6.20484E+09        6.20745E+09          -9.28741E-03   -741.023E-06         31.4607E-03         28.9505E-03 
                6.40449E-03     -141.129             -1.77029E+03      142.123E+06         74.9018E+03       142.123E+06        182.491E+03        142.315E+06         65.7581E+03         -9.46881E-03       31.5205E-03       31.5204E-03          2.19534E+09        0.               5.76838E+06        6.32014E+09        6.31685E+09          -9.42409E-03   -751.931E-06         32.0225E-03         29.4675E-03 
                6.51685E-03     -152.851             -1.9165E+03       147.092E+06         77.8445E+03       147.092E+06        185.529E+03        147.29E+06          65.4663E+03         -9.62939E-03       32.0647E-03       32.0647E-03          2.23247E+09        0.               7.20192E+06        6.43029E+09        6.42617E+09          -9.58312E-03   -764.621E-06         32.5843E-03         29.9845E-03 
                6.62921E-03      -20.9865          -264.103            152.144E+06         79.7872E+03       152.144E+06        188.273E+03        152.347E+06         65.2057E+03         -9.81439E-03       32.6086E-03       32.6085E-03          2.2681E+09         0.              -1.04698E+06        6.53484E+09        6.53542E+09          -9.76635E-03   -779.24E-06          33.1461E-03         30.5014E-03 
                6.74157E-03      121.898              1.52818E+03      157.28E+06          78.642E+03        157.28E+06         190.927E+03        157.484E+06         65.3825E+03        -10.0028E-03        33.1522E-03       33.1522E-03          2.30364E+09        0.             -10.6391E+06         6.6386E+09         6.64467E+09          -9.95292E-03   -794.125E-06         33.7079E-03         31.0184E-03 
                6.85393E-03      143.316              1.79633E+03      162.498E+06         75.8717E+03       162.498E+06        193.721E+03        162.702E+06         65.6949E+03        -10.1717E-03        33.6956E-03       33.6956E-03          2.34041E+09        0.             -12.6374E+06         6.74666E+09        6.75385E+09         -10.1202E-03    -807.47E-06          34.2697E-03         31.5354E-03 
                6.96629E-03       30.2511           380.015            167.799E+06         74.2494E+03       167.799E+06        196.787E+03        168.004E+06         65.8147E+03        -10.3178E-03        34.2386E-03       34.2385E-03          2.37849E+09        0.              -5.60851E+06        6.85978E+09        6.86295E+09         -10.2648E-03    -819.006E-06         34.8315E-03         32.0523E-03 
                7.07865E-03     -102.77              -1.28774E+03      173.183E+06         74.9123E+03       173.183E+06        199.985E+03        173.392E+06         65.7799E+03        -10.4591E-03        34.7813E-03       34.7813E-03          2.41668E+09        0.               3.26554E+06        6.97389E+09        6.97205E+09         -10.4046E-03    -830.16E-06          35.3933E-03         32.5693E-03 
                7.19101E-03     -130.94              -1.6415E+03       178.649E+06         77.2196E+03       178.649E+06        203.02E+03         178.864E+06         65.5613E+03        -10.6168E-03        35.3238E-03       35.3238E-03          2.45372E+09        0.               5.64122E+06        7.08428E+09        7.08107E+09         -10.5606E-03    -842.612E-06         35.9551E-03         33.0863E-03 
                7.30337E-03      -34.2467          -429.917            184.199E+06         79.0122E+03       184.199E+06        205.805E+03        184.418E+06         65.3237E+03        -10.7955E-03        35.8659E-03       35.866E-03           2.48944E+09        0.            -311.392E+03          7.18988E+09        7.19004E+09         -10.7374E-03    -856.717E-06         36.5168E-03         33.6033E-03 
                7.41573E-03       88.7793             1.11214E+03      189.831E+06         78.4028E+03       189.831E+06        208.487E+03        190.052E+06         65.42E+03          -10.9797E-03        36.4077E-03       36.4077E-03          2.5249E+09         0.              -8.47872E+06        7.29417E+09        7.29896E+09         -10.9196E-03    -871.254E-06         37.0786E-03         34.1202E-03 
                7.52809E-03      120.944              1.51578E+03      195.545E+06         76.2035E+03       195.545E+06        211.265E+03        195.767E+06         65.6839E+03        -11.1497E-03        36.9493E-03       36.9493E-03          2.56128E+09        0.             -11.0525E+06         7.4016E+09         7.40788E+09         -11.0878E-03    -884.67E-06          37.6404E-03         34.6372E-03 
                7.64045E-03       38.7021           485.421            201.342E+06         74.6755E+03       201.342E+06        214.26E+03         201.565E+06         65.8202E+03        -11.3004E-03        37.4906E-03       37.4906E-03          2.59877E+09        0.              -6.0311E+06         7.51329E+09        7.5167E+09          -11.2368E-03    -896.559E-06         38.2022E-03         35.1542E-03 
                7.75281E-03      -74.0738          -926.246            207.221E+06         75.0017E+03       207.221E+06        217.385E+03        207.447E+06         65.7901E+03        -11.4449E-03        38.0315E-03       38.0315E-03          2.63647E+09        0.               1.42106E+06        7.62627E+09        7.62546E+09         -11.3797E-03    -907.96E-06          38.764E-03          35.6712E-03 
                7.86517E-03     -109.112             -1.36815E+03      213.182E+06         76.7962E+03       213.182E+06        220.402E+03        213.413E+06         65.6176E+03        -11.6013E-03        38.5723E-03       38.5723E-03          2.67332E+09        0.               4.13286E+06        7.73654E+09        7.73424E+09         -11.5343E-03    -920.296E-06         39.3258E-03         36.1881E-03 
                7.97753E-03      -39.2996          -492.838            219.225E+06         78.3739E+03       219.225E+06        223.214E+03        219.461E+06         65.4326E+03        -11.7752E-03        39.1127E-03       39.1127E-03          2.70906E+09        0.             -83.712E+03          7.84286E+09        7.84291E+09         -11.7061E-03    -934.009E-06         39.8876E-03         36.7051E-03 
                8.08989E-03       63.7373           798.436            225.35E+06          78.1092E+03       225.35E+06         225.921E+03        225.588E+06         65.4821E+03        -11.9554E-03        39.6527E-03       39.6527E-03          2.74444E+09        0.              -6.85594E+06        7.94767E+09        7.95153E+09         -11.8842E-03    -948.219E-06         40.4494E-03         37.2221E-03 
                8.20225E-03      101.07               1.26608E+03      231.557E+06         76.3885E+03       231.557E+06        228.691E+03        231.796E+06         65.7054E+03        -12.1255E-03        40.1926E-03       40.1926E-03          2.78049E+09        0.              -9.65965E+06        8.05469E+09        8.06011E+09         -12.0522E-03    -961.624E-06         41.0112E-03         37.7391E-03 
